1. employeeテーブル（メインテーブル）,,,,,,,
,,,,,,,
型,物理名,論理名,PK,FK,UK,NOT NULL,説明
VARCHAR(6),employee_id,社員ID,〇,,,〇,
VARCHAR(50),name,氏名,,,,○,
VARCHAR(50),name_kana,カナ,,,,○,
DATE,birth_date,生年月日,,,,,
ENUM,gender,性別,,,,,"1:男性, 2:女性, 3:その他"
INT,experience_years,経験年数,,,,,
TEXT,career_summary,経歴概要,,,,,
TEXT,self_pr,自己PR,,,,,
INT,nearest_station_line_id,最寄り駅路線ID,,○,,,station_lines_linksテーブル参照
VARCHAR(100),final_school_name,最終学歴（学校名）,,,,,自由記述
VARCHAR(100),final_department_name,最終学歴（学部・学科名）,,,,,自由記述
ENUM,final_school_type,最終学歴（学校種別）,,,,,"1:高校, 2:専門学校, 3:短大, 4:大学, 5:大学院"
DATE,graduation_year_month,卒業年月,,,,,YYYYMM01で設定
ENUM,graduation_status,卒業状況,,,,,"1:卒業, 2:中退"
DATETIME,created_at,作成日,,,,,
VARCHAR(100),created_by,作成者,,,,,
VARCHAR(100),created_program,作成プログラム,,,,,
DATETIME,updated_at,更新日,,,,,
VARCHAR(100),updated_by,更新者,,,,,
VARCHAR(100),updated_program,更新プログラム,,,,,
DATETIME,deleted_at,削除日,,,,,NULL=有効データ、日付あり=削除済
VARCHAR(100),deleted_by,削除者,,,,,
VARCHAR(100),deleted_program,削除プログラム,,,,,
,,,,,,,
2. railway_lineテーブル（路線マスタ）,,,,,,,
,,,,,,,
型,物理名,論理名,PK,FK,UK,NOT NULL,説明
SERIAL,line_id,路線ID,○,,,,
VARCHAR(100),line_name,路線名,,,,○,JR山手線、東京メトロ銀座線など
DATETIME,created_at,作成日,,,,,
VARCHAR(100),created_by,作成者,,,,,
VARCHAR(100),created_program,作成プログラム,,,,,
DATETIME,updated_at,更新日,,,,,
VARCHAR(100),updated_by,更新者,,,,,
VARCHAR(100),updated_program,更新プログラム,,,,,
DATETIME,deleted_at,削除日,,,,,NULL=有効データ、日付あり=削除済
VARCHAR(100),deleted_by,削除者,,,,,
VARCHAR(100),deleted_program,削除プログラム,,,,,
,,,,,,,
3. stationテーブル（駅マスタ）,,,,,,,
,,,,,,,
型,物理名,論理名,PK,FK,UK,NOT NULL,説明
SERIAL,station_id,駅ID,○,,,,
VARCHAR(100),station_name,駅名,,,,○,
DATETIME,created_at,作成日,,,,,
VARCHAR(100),created_by,作成者,,,,,
VARCHAR(100),created_program,作成プログラム,,,,,
DATETIME,updated_at,更新日,,,,,
VARCHAR(100),updated_by,更新者,,,,,
VARCHAR(100),updated_program,更新プログラム,,,,,
DATETIME,deleted_at,削除日,,,,,NULL=有効データ、日付あり=削除済
VARCHAR(100),deleted_by,削除者,,,,,
VARCHAR(100),deleted_program,削除プログラム,,,,,
,,,,,,,
4. station_line_linkテーブル（駅-路線中間テーブル）,,,,,,,
,,,,,,,
型,物理名,論理名,PK,FK,UK,NOT NULL,説明
SERIAL,station_lines_id,駅路線ID,○,,,,
INT,line_id,路線ID,,○,,,railway_linesテーブル参照
INT,station_id,駅ID,,○,,,stationsテーブル参照
DATETIME,created_at,作成日,,,,,
VARCHAR(100),created_by,作成者,,,,,
VARCHAR(100),created_program,作成プログラム,,,,,
DATETIME,updated_at,更新日,,,,,
VARCHAR(100),updated_by,更新者,,,,,
VARCHAR(100),updated_program,更新プログラム,,,,,
DATETIME,deleted_at,削除日,,,,,NULL=有効データ、日付あり=削除済
VARCHAR(100),deleted_by,削除者,,,,,
VARCHAR(100),deleted_program,削除プログラム,,,,,
,,,,,,,
5. skill_categoryテーブル（スキルカテゴリマスタ）,,,,,,,
,,,,,,,
型,物理名,論理名,PK,FK,UK,NOT NULL,説明
SERIAL,id,カテゴリID,○,,,○,
SERIAL,skill_category_id,カテゴリ区分,○,,,〇,01、02、03、04、05…
VARCHAR(100),skill_category_name,カテゴリ名,,,,○,01開発言語、02DB、03OS、04ツール、05開発工程…
DATETIME,created_at,作成日,,,,,
VARCHAR(100),created_by,作成者,,,,,
VARCHAR(100),created_program,作成プログラム,,,,,
DATETIME,updated_at,更新日,,,,,
VARCHAR(100),updated_by,更新者,,,,,
VARCHAR(100),updated_program,更新プログラム,,,,,
DATETIME,deleted_at,削除日,,,,,NULL=有効データ、日付あり=削除済
VARCHAR(100),deleted_by,削除者,,,,,
VARCHAR(100),deleted_program,削除プログラム,,,,,
,,,,,,,
6. skillテーブル（スキルマスタ）,,,,,,,
,,,,,,,
型,物理名,論理名,PK,FK,UK,NOT NULL,説明
SERIAL,skill_id,スキルID,○,,,,
INT,skill_category_id,カテゴリID,,○,,○,skill_categoriesテーブル参照
VARCHAR(100),skill_name,スキル名,,,,○,Java、Python、MySQL、Linux、基本設計、実装等
DATETIME,created_at,作成日,,,,,
VARCHAR(100),created_by,作成者,,,,,
VARCHAR(100),created_program,作成プログラム,,,,,
DATETIME,updated_at,更新日,,,,,
VARCHAR(100),updated_by,更新者,,,,,
VARCHAR(100),updated_program,更新プログラム,,,,,
DATETIME,deleted_at,削除日,,,,,NULL=有効データ、日付あり=削除済
VARCHAR(100),deleted_by,削除者,,,,,
VARCHAR(100),deleted_program,削除プログラム,,,,,
,,,,,,,
,,,,,,,
8. employee_skill_linkテーブル（社員-スキル中間テーブル）,,,,,,,
,,,,,,,
型,物理名,論理名,PK,FK,UK,NOT NULL,説明
SERIAL,employee_skill_link_id,社員スキルID,〇,,,,AUTO_INCREMENT
INT,employee_id,社員ID,○,○,○,,employeesテーブル参照
INT,skill_id,スキルID,○,○,○,,skillsテーブル参照
VARCHAR(100),skill_version,スキルバージョン,○,,○,,default 0
ENUM,skill_level,習熟度,,,,,"1:◎, 2:〇, 3:△"
DATETIME,created_at,作成日,,,,,
VARCHAR(100),created_by,作成者,,,,,
VARCHAR(100),created_program,作成プログラム,,,,,
DATETIME,updated_at,更新日,,,,,
VARCHAR(100),updated_by,更新者,,,,,
VARCHAR(100),updated_program,更新プログラム,,,,,
DATETIME,deleted_at,削除日,,,,,NULL=有効データ、日付あり=削除済
VARCHAR(100),deleted_by,削除者,,,,,
VARCHAR(100),deleted_program,削除プログラム,,,,,
,,,,,,,
9. certification_categoryテーブル（資格カテゴリマスタ）,,,,,,,
,,,,,,,
型,物理名,論理名,PK,FK,UK,NOT NULL,説明
SERIAL,id,カテゴリID,○,,,○,AUTO_INCREMENT
SERIAL,certification_category_id,カテゴリ区分,○,,,○,10:IT系、20:語学系、30:業務系など
VARCHAR(100),certification_category_name,カテゴリ名,,,,○,IT系、語学系、業務系など
DATETIME,created_at,作成日,,,,,
VARCHAR(100),created_by,作成者,,,,,
VARCHAR(100),created_program,作成プログラム,,,,,
DATETIME,updated_at,更新日,,,,,
VARCHAR(100),updated_by,更新者,,,,,
VARCHAR(100),updated_program,更新プログラム,,,,,
DATETIME,deleted_at,削除日,,,,,NULL=有効データ、日付あり=削除済
VARCHAR(100),deleted_by,削除者,,,,,
VARCHAR(100),deleted_program,削除プログラム,,,,,
,,,,,,,
10. certificationテーブル（資格マスタ）,,,,,,,
,,,,,,,
型,物理名,論理名,PK,FK,UK,NOT NULL,説明
SERIAL,certification_id,資格ID,○,,,,AUTO_INCREMENT
INT,certification_category_id,カテゴリID,,○,,○,certification_categoriesテーブル参照
VARCHAR(100),certification_name,資格名,,,,○,
VARCHAR(100),certification_organization,認定団体,,,,,
DATETIME,created_at,作成日,,,,,
VARCHAR(100),created_by,作成者,,,,,
VARCHAR(100),created_program,作成プログラム,,,,,
DATETIME,updated_at,更新日,,,,,
VARCHAR(100),updated_by,更新者,,,,,
VARCHAR(100),updated_program,更新プログラム,,,,,
DATETIME,deleted_at,削除日,,,,,NULL=有効データ、日付あり=削除済
VARCHAR(100),deleted_by,削除者,,,,,
VARCHAR(100),deleted_program,削除プログラム,,,,,
,,,,,,,
11. employee_certification_linkテーブル（社員-資格中間テーブル）,,,,,,,
,,,,,,,
型,物理名,論理名,PK,FK,UK,NOT NULL,説明
SERIAL,employee_certification_link_id,社員資格ID,○,,,○,AUTO_INCREMENT
INT,employee_id,社員ID,○,○,○,○,employeesテーブル参照
INT,certification_id,資格ID,○,○,○,○,certificationsテーブル参照
DATE,acquired_date,取得年月日,,,,,
DATE,expiration_date,有効期限日,,,,,資格の有効期限日
DATETIME,created_at,作成日,,,,,
VARCHAR(100),created_by,作成者,,,,,
VARCHAR(100),created_program,作成プログラム,,,,,
DATETIME,updated_at,更新日,,,,,
VARCHAR(100),updated_by,更新者,,,,,
VARCHAR(100),updated_program,更新プログラム,,,,,
DATETIME,deleted_at,削除日,,,,,NULL=有効データ、日付あり=削除済
VARCHAR(100),deleted_by,削除者,,,,,
VARCHAR(100),deleted_program,削除プログラム,,,,,
,,,,,,,
12. projectテーブル（プロジェクトテーブル）,,,,,,,
,,,,,,,
型,物理名,論理名,PK,FK,UK,NOT NULL,説明
SERIAL,project_id,プロジェクトID,○,,,,AUTO_INCREMENT
INT,employee_id,社員ID,,○,,○,employeesテーブル参照
VARCHAR(100),site_name,現場名,,,,○,MZSSとか
VARCHAR(100),project_title,プロジェクトタイトル,,,,○,
TEXT,project_summary,プロジェクト概要,,,,,
DATE,start_date,開始日,,,,,
DATE,end_date,終了日,,,,,
VARCHAR(100),total_team_size,規模（全体人数）,,,,,幅がある可能性もあるので自由記述
VARCHAR(100),team_size,規模（チーム人数）,,,,,幅がある可能性もあるので自由記述
DATETIME,created_at,作成日,,,,,
VARCHAR(100),created_by,作成者,,,,,
VARCHAR(100),created_program,作成プログラム,,,,,
DATETIME,updated_at,更新日,,,,,
VARCHAR(100),updated_by,更新者,,,,,
VARCHAR(100),updated_program,更新プログラム,,,,,
DATETIME,deleted_at,削除日,,,,,NULL=有効データ、日付あり=削除済
VARCHAR(100),deleted_by,削除者,,,,,
VARCHAR(100),deleted_program,削除プログラム,,,,,
,,,,,,,
,,,,,,,
13. project_roleテーブル（プロジェクト役割マスタ）,,,,,,,
,,,,,,,
型,物理名,論理名,PK,FK,UK,NOT NULL,説明
SERIAL,project_role_id,役割ID,○,,,,AUTO_INCREMENT
VARCHAR(20),project_role_name,役割名,,,,○,SE、PG、リーダー、サブリーダー
DATETIME,created_at,作成日,,,,,
VARCHAR(100),created_by,作成者,,,,,
VARCHAR(100),created_program,作成プログラム,,,,,
DATETIME,updated_at,更新日,,,,,
VARCHAR(100),updated_by,更新者,,,,,
VARCHAR(100),updated_program,更新プログラム,,,,,
